Step,Training_Loss,Validation_Loss,Entropy,Num_Tokens,Mean_Token_Accuracy
1110,0.303900,0.316544,0.284248,1954419.000000,0.913395
1120,0.268500,0.316497,0.284201,1971152.000000,0.913167
1130,0.340600,0.314996,0.291647,1988574.000000,0.913343
1140,0.285100,0.314646,0.290351,2008963.000000,0.913704
1150,0.342700,0.314774,0.285995,2029047.000000,0.913914
1160,0.404500,0.315117,0.284875,2050026.000000,0.913914
1170,0.300000,0.315364,0.286526,2067390.000000,0.913634
1180,0.262900,0.315665,0.282370,2086357.000000,0.913504
1190,0.308100,0.315290,0.282800,2104055.000000,0.913479
1200,0.241500,0.315990,0.279200,2121156.000000,0.913563
1210,0.264900,0.315013,0.279235,2139032.000000,0.913637
1220,0.304500,0.315200,0.280342,2156257.000000,0.913764
1230,0.276800,0.314546,0.284448,2174507.000000,0.913695
1240,0.296700,0.314409,0.284438,2192261.000000,0.913752
1250,0.336700,0.314859,0.282449,2210205.000000,0.913939
1260,0.355600,0.314438,0.283458,2230781.000000,0.914056
1270,0.210800,0.314006,0.283572,2246555.000000,0.914122
1280,0.323100,0.313631,0.284846,2265274.000000,0.914269
1290,0.237200,0.313347,0.286058,2281255.000000,0.914099
1300,0.327200,0.313385,0.286588,2299712.000000,0.913852
1310,0.277200,0.313285,0.287106,2317474.000000,0.913922
1320,0.304400,0.313163,0.287423,2334455.000000,0.913973
1330,0.238700,0.313143,0.287380,2352095.000000,0.913967
